"Workflow";"Version";"Typ";"Kategorie";"Element";"Id";"start";"stop";"Akteur";"Körperteil";"Wert";"Notizen";"action";"structure";
"PantomV8.xml";"cor";"state";"Camera Tracking Mode";"hands-on";"0";"00:00:00";"00:27:54";"";"";"hands-on";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"poor";"1";"00:00:00";"00:00:21";"";"";"poor";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"neutral";"2";"00:00:21";"00:00:27";"";"";"neutral";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"good";"3";"00:00:27";"00:00:53";"";"";"good";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"poor";"4";"00:00:53";"00:01:07";"";"";"poor";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"neutral";"5";"00:01:07";"00:01:37";"";"";"neutral";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"poor";"6";"00:01:37";"00:01:39";"";"";"poor";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"neutral";"7";"00:01:39";"00:01:53";"";"";"neutral";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"poor";"8";"00:01:53";"00:02:00";"";"";"poor";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"neutral";"9";"00:02:00";"00:02:20";"";"";"neutral";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"good";"10";"00:02:20";"00:02:25";"";"";"good";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"neutral";"11";"00:02:25";"00:02:30";"";"";"neutral";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"good";"12";"00:02:30";"00:03:27";"";"";"good";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"poor";"13";"00:03:27";"00:03:29";"";"";"poor";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"neutral";"14";"00:03:29";"00:03:44";"";"";"neutral";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"poor";"15";"00:03:44";"00:03:46";"";"";"poor";"";"";""
"PantomV8.xml";"cor";"state";"Camera Quality";"neutral";"16";"00:03:46";"00:03:57";"";"";"neutral";"";"";""
