"Workflow";"Version";"Typ";"Kategorie";"Element";"Id";"start";"stop";"Akteur";"Körperteil";"Wert";"Notizen";"action";"structure";"Instrument";
"PhantomV05.xml";"cor";"state";"Camera Tracking Mode";"hands-on";"0";"00:00:00";"00:36:03";"";"";"hands-on";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"neutral";"1";"00:00:00";"00:00:16";"";"";"neutral";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"good";"2";"00:00:16";"00:00:55";"";"";"good";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"neutral";"3";"00:00:55";"00:00:59";"";"";"neutral";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"poor";"4";"00:00:59";"00:01:08";"";"";"poor";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"neutral";"5";"00:01:08";"00:01:46";"";"";"neutral";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"good";"6";"00:01:46";"00:02:17";"";"";"good";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"neutral";"7";"00:02:17";"00:06:46";"";"";"neutral";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"good";"8";"00:06:46";"00:07:39";"";"";"good";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"poor";"9";"00:07:39";"00:07:41";"";"";"poor";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"neutral";"10";"00:07:41";"00:07:44";"";"";"neutral";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"good";"11";"00:07:44";"00:07:55";"";"";"good";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"neutral";"12";"00:07:55";"00:08:14";"";"";"neutral";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"poor";"13";"00:08:14";"00:08:16";"";"";"poor";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"neutral";"14";"00:08:16";"00:09:25";"";"";"neutral";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"good";"15";"00:09:25";"00:09:30";"";"";"good";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"neutral";"16";"00:09:30";"00:09:43";"";"";"neutral";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"good";"17";"00:09:43";"00:09:57";"";"";"good";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"neutral";"18";"00:09:57";"00:10:16";"";"";"neutral";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"poor";"19";"00:10:16";"00:10:19";"";"";"poor";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"neutral";"20";"00:10:19";"00:10:21";"";"";"neutral";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"good";"21";"00:10:21";"00:10:27";"";"";"good";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"neutral";"22";"00:10:27";"00:10:53";"";"";"neutral";"";"";"";""
"PhantomV05.xml";"cor";"state";"Camera Quality";"poor";"23";"00:10:53";"00:11:03";"";"";"poor";"";"";"";""
