"Workflow";"Version";"Typ";"Kategorie";"Element";"Id";"start";"stop";"Akteur";"Körperteil";"Wert";"Notizen";"action";"structure";"Instrument";
"Phantom14.xml";"cor";"state";"Camera Tracking Mode";"hands-on";"0";"00:00:00";"00:22:39";"";"";"hands-on";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"poor";"1";"00:00:00";"00:00:19";"";"";"poor";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"good";"2";"00:00:19";"00:00:59";"";"";"good";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"neutral";"3";"00:00:59";"00:01:46";"";"";"neutral";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"good";"4";"00:01:46";"00:05:48";"";"";"good";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"neutral";"5";"00:05:48";"00:06:20";"";"";"neutral";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"good";"6";"00:06:20";"00:06:36";"";"";"good";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"neutral";"7";"00:06:36";"00:06:51";"";"";"neutral";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"good";"8";"00:06:51";"00:06:59";"";"";"good";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"neutral";"9";"00:06:59";"00:07:22";"";"";"neutral";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"good";"10";"00:07:22";"00:07:34";"";"";"good";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"neutral";"11";"00:07:34";"00:11:47";"";"";"neutral";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"good";"12";"00:11:47";"00:13:05";"";"";"good";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"poor";"13";"00:13:05";"00:13:09";"";"";"poor";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"neutral";"14";"00:13:09";"00:14:32";"";"";"neutral";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"good";"15";"00:14:32";"00:14:58";"";"";"good";"";"";"";""
"Phantom14.xml";"cor";"state";"Camera Quality";"neutral";"16";"00:14:58";"00:15:18";"";"";"neutral";"";"";"";""
