"Workflow";"Version";"Typ";"Kategorie";"Element";"Id";"start";"stop";"Akteur";"Körperteil";"Wert";"Notizen";"action";"structure";"Instrument";
"Phantom10.xml";"cor";"state";"Camera Tracking Mode";"hands-on";"0";"00:00:00";"00:22:13";"";"";"hands-on";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"poor";"1";"00:00:00";"00:00:25";"";"";"poor";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"neutral";"2";"00:00:25";"00:00:27";"";"";"neutral";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"good";"3";"00:00:27";"00:00:55";"";"";"good";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"neutral";"4";"00:00:55";"00:01:04";"";"";"neutral";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"poor";"5";"00:01:04";"00:01:13";"";"";"poor";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"neutral";"6";"00:01:13";"00:01:48";"";"";"neutral";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"good";"7";"00:01:48";"00:02:04";"";"";"good";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"neutral";"8";"00:02:04";"00:03:11";"";"";"neutral";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"good";"9";"00:03:11";"00:03:43";"";"";"good";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"neutral";"10";"00:03:43";"00:04:10";"";"";"neutral";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"good";"11";"00:04:10";"00:04:38";"";"";"good";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"neutral";"12";"00:04:38";"00:05:22";"";"";"neutral";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"good";"13";"00:05:22";"00:05:37";"";"";"good";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"neutral";"14";"00:05:37";"00:06:46";"";"";"neutral";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"poor";"15";"00:06:46";"00:06:55";"";"";"poor";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"neutral";"16";"00:06:55";"00:07:17";"";"";"neutral";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"good";"17";"00:07:17";"00:07:56";"";"";"good";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"neutral";"18";"00:07:56";"00:08:21";"";"";"neutral";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"good";"19";"00:08:21";"00:10:42";"";"";"good";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"neutral";"20";"00:10:42";"00:11:32";"";"";"neutral";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"good";"21";"00:11:32";"00:11:40";"";"";"good";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"neutral";"22";"00:11:40";"00:11:52";"";"";"neutral";"";"";"";""
"Phantom10.xml";"cor";"state";"Camera Quality";"poor";"23";"00:11:52";"00:12:07";"";"";"poor";"";"";"";""
