"Workflow";"Version";"Typ";"Kategorie";"Element";"Id";"start";"stop";"Akteur";"Körperteil";"Wert";"Notizen";"action";"structure";"Instrument";
"Phantom16.xml";"cor";"state";"Camera Tracking Mode";"hands-on";"0";"00:00:00";"00:21:33";"";"";"hands-on";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"poor";"1";"00:00:00";"00:00:20";"";"";"poor";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"good";"2";"00:00:20";"00:00:46";"";"";"good";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"neutral";"3";"00:00:46";"00:02:10";"";"";"neutral";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"good";"4";"00:02:10";"00:02:16";"";"";"good";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"neutral";"5";"00:02:16";"00:02:23";"";"";"neutral";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"good";"6";"00:02:23";"00:02:40";"";"";"good";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"neutral";"7";"00:02:40";"00:03:53";"";"";"neutral";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"good";"8";"00:03:53";"00:05:50";"";"";"good";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"neutral";"9";"00:05:50";"00:06:32";"";"";"neutral";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"poor";"10";"00:06:32";"00:06:35";"";"";"poor";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"neutral";"11";"00:06:35";"00:06:47";"";"";"neutral";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"good";"12";"00:06:47";"00:06:51";"";"";"good";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"neutral";"13";"00:06:51";"00:08:49";"";"";"neutral";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"poor";"14";"00:08:49";"00:08:55";"";"";"poor";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"neutral";"15";"00:08:55";"00:10:41";"";"";"neutral";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"good";"16";"00:10:41";"00:12:10";"";"";"good";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"neutral";"17";"00:12:10";"00:12:15";"";"";"neutral";"";"";"";""
"Phantom16.xml";"cor";"state";"Camera Quality";"poor";"18";"00:12:15";"00:12:26";"";"";"poor";"";"";"";""
