"Workflow";"Version";"Typ";"Kategorie";"Element";"Id";"start";"stop";"Akteur";"Körperteil";"Wert";"Notizen";"action";"structure";"Instrument";
"PhantomV06.xml";"cor";"state";"Camera Tracking Mode";"hands-on";"0";"00:00:00";"00:28:48";"";"";"hands-on";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"poor";"1";"00:00:00";"00:00:17";"";"";"poor";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"good";"2";"00:00:17";"00:00:46";"";"";"good";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"poor";"3";"00:00:46";"00:00:49";"";"";"poor";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"good";"4";"00:00:49";"00:01:04";"";"";"good";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"5";"00:01:04";"00:01:08";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"poor";"6";"00:01:08";"00:01:20";"";"";"poor";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"7";"00:01:20";"00:01:52";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"good";"8";"00:01:52";"00:02:09";"";"";"good";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"9";"00:02:09";"00:02:13";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"good";"10";"00:02:13";"00:02:34";"";"";"good";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"11";"00:02:34";"00:02:45";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"good";"12";"00:02:45";"00:03:02";"";"";"good";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"13";"00:03:02";"00:03:11";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"good";"14";"00:03:11";"00:04:02";"";"";"good";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"15";"00:04:02";"00:04:38";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"poor";"16";"00:04:38";"00:04:39";"";"";"poor";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"17";"00:04:39";"00:04:44";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"good";"18";"00:04:44";"00:04:46";"";"";"good";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"19";"00:04:46";"00:04:51";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"good";"20";"00:04:51";"00:06:42";"";"";"good";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"21";"00:06:42";"00:07:08";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"good";"22";"00:07:08";"00:07:28";"";"";"good";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"23";"00:07:28";"00:08:33";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"poor";"24";"00:08:33";"00:08:42";"";"";"poor";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"good";"25";"00:08:42";"00:11:03";"";"";"good";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"26";"00:11:03";"00:15:51";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"poor";"27";"00:15:51";"00:16:04";"";"";"poor";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"28";"00:16:04";"00:23:18";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"poor";"29";"00:23:18";"00:23:43";"";"";"poor";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"30";"00:23:43";"00:25:47";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"good";"31";"00:25:47";"00:25:57";"";"";"good";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"32";"00:25:57";"00:26:16";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"poor";"33";"00:26:16";"00:26:25";"";"";"poor";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"34";"00:26:25";"00:26:54";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"poor";"35";"00:26:54";"00:27:02";"";"";"poor";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"36";"00:27:02";"00:27:07";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"good";"37";"00:27:07";"00:27:11";"";"";"good";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"38";"00:27:11";"00:28:06";"";"";"neutral";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"poor";"39";"00:28:06";"00:28:08";"";"";"poor";"";"";"";""
"PhantomV06.xml";"cor";"state";"Camera Quality";"neutral";"40";"00:28:08";"00:28:28";"";"";"neutral";"";"";"";""
