"Workflow";"Version";"Typ";"Kategorie";"Element";"Id";"start";"stop";"Akteur";"Körperteil";"Wert";"Notizen";"action";"structure";"Instrument";
"Phantom17.xml";"cor";"state";"Camera Tracking Mode";"hands-on";"0";"00:00:00";"00:28:29";"";"";"hands-on";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"poor";"1";"00:00:00";"00:00:17";"";"";"poor";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"good";"2";"00:00:17";"00:01:10";"";"";"good";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"poor";"3";"00:01:10";"00:01:13";"";"";"poor";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"neutral";"4";"00:01:13";"00:01:30";"";"";"neutral";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"good";"5";"00:01:30";"00:01:39";"";"";"good";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"neutral";"6";"00:01:39";"00:02:26";"";"";"neutral";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"good";"7";"00:02:26";"00:03:17";"";"";"good";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"neutral";"8";"00:03:17";"00:03:27";"";"";"neutral";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"good";"9";"00:03:27";"00:04:33";"";"";"good";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"neutral";"10";"00:04:33";"00:05:37";"";"";"neutral";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"good";"11";"00:05:37";"00:06:31";"";"";"good";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"neutral";"12";"00:06:31";"00:07:06";"";"";"neutral";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"poor";"13";"00:07:06";"00:07:08";"";"";"poor";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"neutral";"14";"00:07:08";"00:08:37";"";"";"neutral";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"good";"15";"00:08:37";"00:11:38";"";"";"good";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"neutral";"16";"00:11:38";"00:12:49";"";"";"neutral";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"good";"17";"00:12:49";"00:13:23";"";"";"good";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"neutral";"18";"00:13:23";"00:14:08";"";"";"neutral";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"poor";"19";"00:14:08";"00:14:20";"";"";"poor";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"neutral";"20";"00:14:20";"00:15:47";"";"";"neutral";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"good";"21";"00:15:47";"00:15:56";"";"";"good";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"neutral";"22";"00:15:56";"00:16:13";"";"";"neutral";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"poor";"23";"00:16:13";"00:16:14";"";"";"poor";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"neutral";"24";"00:16:14";"00:22:27";"";"";"neutral";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"good";"25";"00:22:27";"00:23:51";"";"";"good";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"neutral";"26";"00:23:51";"00:27:03";"";"";"neutral";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"good";"27";"00:27:03";"00:27:21";"";"";"good";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"neutral";"28";"00:27:21";"00:27:48";"";"";"neutral";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"good";"29";"00:27:48";"00:27:55";"";"";"good";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"neutral";"30";"00:27:55";"00:28:07";"";"";"neutral";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"good";"31";"00:28:07";"00:28:29";"";"";"good";"";"";"";""
"Phantom17.xml";"cor";"state";"Camera Quality";"poor";"32";"00:28:29";"00:28:29";"";"";"poor";"";"";"";""
"Phantom17.xml";"cor";"state";"Part of surgery";"no";"33";"00:00:00";"00:00:17";"";"";"no";"";"";"";""
"Phantom17.xml";"cor";"state";"Part of surgery";"yes";"34";"00:00:17";"00:07:14";"";"";"yes";"";"";"";""
"Phantom17.xml";"cor";"state";"Part of surgery";"no";"35";"00:07:14";"00:07:48";"";"";"no";"";"";"";""
"Phantom17.xml";"cor";"state";"Part of surgery";"yes";"36";"00:07:48";"00:19:47";"";"";"yes";"";"";"";""
"Phantom17.xml";"cor";"state";"Part of surgery";"no";"37";"00:19:47";"00:20:04";"";"";"no";"";"";"";""
"Phantom17.xml";"cor";"state";"Part of surgery";"yes";"38";"00:20:04";"00:28:29";"";"";"yes";"";"";"";""
"Phantom17.xml";"cor";"state";"Part of surgery";"no";"39";"00:28:29";"00:28:29";"";"";"no";"";"";"";""
"Phantom17.xml";"cor";"state";"Phase";"Diagnostic Laparoscopy";"40";"00:00:00";"00:01:10";"";"";"Diagnostic Laparoscopy";"";"";"";""
"Phantom17.xml";"cor";"state";"Phase";"Mobilization of colon";"41";"00:01:10";"00:07:04";"";"";"Mobilization of colon";"";"";"";""
"Phantom17.xml";"cor";"state";"Phase";"Vessel resection";"42";"00:07:04";"00:14:03";"";"";"Vessel resection";"";"";"";""
"Phantom17.xml";"cor";"state";"Phase";"Dissection of the rectum";"43";"00:14:03";"00:25:38";"";"";"Dissection of the rectum";"";"";"";""
"Phantom17.xml";"cor";"state";"Phase";"Resection of rectum";"44";"00:25:38";"00:28:29";"";"";"Resection of rectum";"";"";"";""
"Phantom17.xml";"cor";"state";"Step";"check for metastasis and adhesions";"45";"00:00:00";"00:01:10";"";"";"check for metastasis and adhesions";"";"";"";""
"Phantom17.xml";"cor";"state";"Step";"mobilization sigmoid";"46";"00:01:10";"00:03:13";"";"";"mobilization sigmoid";"";"";"";""
"Phantom17.xml";"cor";"state";"Step";"mobilization descending colon";"47";"00:03:13";"00:05:18";"";"";"mobilization descending colon";"";"";"";""
"Phantom17.xml";"cor";"state";"Step";"mobilization splenic flexure";"48";"00:05:18";"00:06:31";"";"";"mobilization splenic flexure";"";"";"";""
"Phantom17.xml";"cor";"state";"Step";"inspection colon";"49";"00:06:31";"00:07:04";"";"";"inspection colon";"";"";"";""
"Phantom17.xml";"cor";"state";"Step";"lancing retroperitoneum";"50";"00:07:04";"00:08:21";"";"";"lancing retroperitoneum";"";"";"";""
"Phantom17.xml";"cor";"state";"Step";"delineating of vessels";"51";"00:08:21";"00:10:32";"";"";"delineating of vessels";"";"";"";""
"Phantom17.xml";"cor";"state";"Step";"division of artery";"52";"00:10:32";"00:12:18";"";"";"division of artery";"";"";"";""
"Phantom17.xml";"cor";"state";"Step";"division of vein";"53";"00:12:18";"00:14:03";"";"";"division of vein";"";"";"";""
"Phantom17.xml";"cor";"state";"Step";"opening of lesser pelvic peritoneum";"54";"00:14:03";"00:20:57";"";"";"opening of lesser pelvic peritoneum";"";"";"";""
"Phantom17.xml";"cor";"state";"Step";"dissection rectum";"55";"00:20:57";"00:25:38";"";"";"dissection rectum";"";"";"";""
"Phantom17.xml";"cor";"state";"Step";"transect rectum";"56";"00:25:38";"00:27:21";"";"";"transect rectum";"";"";"";""
"Phantom17.xml";"cor";"state";"Step";"salvage rectum";"57";"00:27:21";"00:28:02";"";"";"salvage rectum";"";"";"";""
"Phantom17.xml";"cor";"state";"Step";"visual inspectation lesser pelvis";"58";"00:28:02";"00:28:29";"";"";"visual inspectation lesser pelvis";"";"";"";""
